"participant"	"Vis_Degs"	"half"	"condition"	"mean_acc"	"acc_type"
"5"	8.70931166676611	"first"	"Instructions"	0.710526315789474	"Actual"
"5"	8.70931166676611	"second"	"Instructions"	0.710526315789474	"Actual"
"5"	9.76656403355257	"first"	"Instructions"	0.805555555555556	"Actual"
"5"	9.76656403355257	"second"	"Instructions"	0.6	"Actual"
"5"	10.8522857666461	"first"	"Instructions"	0.868421052631579	"Actual"
"5"	10.8522857666461	"second"	"Instructions"	0.787878787878788	"Actual"
"5"	19.2750762258619	"first"	"Instructions"	0.810810810810811	"Actual"
"5"	19.2750762258619	"second"	"Instructions"	0.566666666666667	"Actual"
"6"	4.9832107773066	"first"	"No_instructions"	0.65	"Actual"
"6"	4.9832107773066	"second"	"No_instructions"	0.710526315789474	"Actual"
"6"	6.0752216545878	"first"	"No_instructions"	0.741935483870968	"Actual"
"6"	6.0752216545878	"second"	"No_instructions"	0.611111111111111	"Actual"
"6"	7.13584287673728	"first"	"No_instructions"	0.714285714285714	"Actual"
"6"	7.13584287673728	"second"	"No_instructions"	0.833333333333333	"Actual"
"6"	8.22549012716089	"first"	"No_instructions"	0.714285714285714	"Actual"
"6"	8.22549012716089	"second"	"No_instructions"	0.647058823529412	"Actual"
"6"	8.61861830002437	"first"	"No_instructions"	0.72972972972973	"Actual"
"6"	8.61861830002437	"second"	"No_instructions"	0.638888888888889	"Actual"
"6"	9.28344455351819	"first"	"No_instructions"	0.685714285714286	"Actual"
"6"	9.28344455351819	"second"	"No_instructions"	0.783783783783784	"Actual"
"6"	10.3699723440017	"first"	"No_instructions"	0.75	"Actual"
"6"	10.3699723440017	"second"	"No_instructions"	0.714285714285714	"Actual"
"6"	11.4546337025601	"first"	"No_instructions"	0.861111111111111	"Actual"
"6"	11.4546337025601	"second"	"No_instructions"	0.6	"Actual"
