"participant"	"half"	"as_numbers"	"as_factors"	"offset_from_sp"	"condition"	"Accuracy"	"acc_type"
"169"	10	"first"	2.5	"284"	2.82705410220499	"Instructions"	0.75	"Expected"
"170"	10	"first"	3	"3"	3.2524185571131	"Instructions"	0.75	"Expected"
"171"	10	"first"	4	"640"	13.5876250450242	"Instructions"	0.75	"Expected"
"172"	10	"second"	-3	"-3"	-3.2524185571131	"Instructions"	0.999886412777531	"Expected"
"173"	10	"second"	-2	"-2"	-2.15847128479618	"Instructions"	0.989554637562848	"Expected"
"174"	10	"second"	-1	"-1"	-1.09453231215461	"Instructions"	0.951209064620085	"Expected"
"175"	10	"second"	0	"0"	0	"Instructions"	0.824663017507502	"Expected"
"176"	10	"second"	1	"1"	1.09453231215461	"Instructions"	0.644167826553024	"Expected"
"177"	10	"second"	2	"2"	2.15847128479618	"Instructions"	0.59071650611389	"Expected"
"178"	10	"second"	2.5	"284"	2.82705410220499	"Instructions"	0.58048365577745	"Expected"
"179"	10	"second"	3	"3"	3.2524185571131	"Instructions"	0.562255616363734	"Expected"
"180"	10	"second"	4	"640"	13.5876250450242	"Instructions"	0.618055555555556	"Expected"
"181"	11	"first"	-3	"-3"	-3.2524185571131	"No_instructions"	0.914428012308232	"Expected"
"182"	11	"first"	-2	"-2"	-2.1888649458271	"No_instructions"	0.890224776086295	"Expected"
"183"	11	"first"	-1	"-1"	-1.09453231215461	"No_instructions"	0.82811929954284	"Expected"
"184"	11	"first"	0	"0"	0	"No_instructions"	0.708558807991073	"Expected"
"185"	11	"first"	1	"1"	1.06413040966505	"No_instructions"	0.58003172150696	"Expected"
"186"	11	"first"	2	"2"	2.15847128479618	"No_instructions"	0.519494348238006	"Expected"
"187"	11	"first"	2.5	"284"	2.82705410220499	"No_instructions"	0.502539496108123	"Expected"
"188"	11	"first"	3	"3"	3.22203821588321	"No_instructions"	0.525844537111203	"Expected"
"189"	11	"first"	4	"640"	13.5876250450242	"No_instructions"	0.5	"Expected"
"190"	11	"second"	-3	"-3"	-3.2524185571131	"No_instructions"	0.918755065263712	"Expected"
"191"	11	"second"	-2	"-2"	-2.1888649458271	"No_instructions"	0.929325915571897	"Expected"
"192"	11	"second"	-1	"-1"	-1.09453231215461	"No_instructions"	0.855160595538438	"Expected"
"193"	11	"second"	0	"0"	0	"No_instructions"	0.705371023990387	"Expected"
"194"	11	"second"	1	"1"	1.06413040966505	"No_instructions"	0.596480264586931	"Expected"
"195"	11	"second"	2	"2"	2.15847128479618	"No_instructions"	0.539079795773339	"Expected"
"196"	11	"second"	2.5	"284"	2.82705410220499	"No_instructions"	0.524374246451524	"Expected"
"197"	11	"second"	3	"3"	3.22203821588321	"No_instructions"	0.510162879213632	"Expected"
"198"	11	"second"	4	"640"	13.5876250450242	"No_instructions"	0.507142857142857	"Expected"
"199"	12	"first"	-3	"-3"	-3.2524185571131	"Instructions"	0.924680338883021	"Expected"
"200"	12	"first"	-2	"-2"	-2.15847128479618	"Instructions"	0.872654614018815	"Expected"
"201"	12	"first"	-1	"-1"	-1.09453231215461	"Instructions"	0.808248354825349	"Expected"
"202"	12	"first"	0	"0"	0	"Instructions"	0.734536242084301	"Expected"
"203"	12	"first"	0.5	"284"	0.273640879660552	"Instructions"	0.75	"Expected"
"204"	12	"first"	1	"1"	1.06413040966505	"Instructions"	0.75	"Expected"
"205"	12	"first"	2	"2"	2.15847128479618	"Instructions"	0.75	"Expected"
"206"	12	"first"	3	"3"	3.22203821588321	"Instructions"	0.75	"Expected"
"207"	12	"first"	4	"640"	11.0631776929368	"Instructions"	0.75	"Expected"
"208"	12	"second"	-3	"-3"	-3.2524185571131	"Instructions"	0.774261158178197	"Expected"
"209"	12	"second"	-2	"-2"	-2.15847128479618	"Instructions"	0.766138765002476	"Expected"
"210"	12	"second"	-1	"-1"	-1.09453231215461	"Instructions"	0.767798108418857	"Expected"
"211"	12	"second"	0	"0"	0	"Instructions"	0.743632570270006	"Expected"
"212"	12	"second"	0.5	"284"	0.273640879660552	"Instructions"	0.738680388270223	"Expected"
"213"	12	"second"	1	"1"	1.06413040966505	"Instructions"	0.715452711385973	"Expected"
"214"	12	"second"	2	"2"	2.15847128479618	"Instructions"	0.694668774919515	"Expected"
"215"	12	"second"	3	"3"	3.22203821588321	"Instructions"	0.690175112671963	"Expected"
"216"	12	"second"	4	"640"	11.0631776929368	"Instructions"	0.625013689820181	"Expected"
"217"	13	"first"	-3	"-3"	-3.22203821588321	"No_instructions"	0.924019734222016	"Expected"
"218"	13	"first"	-2	"-2"	-2.15847128479618	"No_instructions"	0.884983518681558	"Expected"
"219"	13	"first"	-1	"-1"	-1.06413040966505	"No_instructions"	0.842820244644785	"Expected"
"220"	13	"first"	0	"0"	0	"No_instructions"	0.779955358087967	"Expected"
"221"	13	"first"	1	"1"	1.09453231215461	"No_instructions"	0.715481348459464	"Expected"
"222"	13	"first"	1.5	"284"	1.15533565059432	"No_instructions"	0.71117767707396	"Expected"
"223"	13	"first"	2	"2"	2.15847128479618	"No_instructions"	0.651194990054989	"Expected"
"224"	13	"first"	3	"3"	3.2524185571131	"No_instructions"	0.617006801589915	"Expected"
"225"	13	"first"	4	"640"	11.9360568012004	"No_instructions"	0.553031975650499	"Expected"
"226"	13	"second"	-3	"-3"	-3.22203821588321	"No_instructions"	0.857089067213549	"Expected"
"227"	13	"second"	-2	"-2"	-2.15847128479618	"No_instructions"	0.831102363615323	"Expected"
"228"	13	"second"	-1	"-1"	-1.06413040966505	"No_instructions"	0.8145329205128	"Expected"
"229"	13	"second"	0	"0"	0	"No_instructions"	0.77446058826118	"Expected"
"230"	13	"second"	1	"1"	1.09453231215461	"No_instructions"	0.73082993217531	"Expected"
"231"	13	"second"	1.5	"284"	1.15533565059432	"No_instructions"	0.7287725895112	"Expected"
"232"	13	"second"	2	"2"	2.15847128479618	"No_instructions"	0.692547624490205	"Expected"
"233"	13	"second"	3	"3"	3.2524185571131	"No_instructions"	0.639771403119569	"Expected"
"234"	13	"second"	4	"640"	11.9360568012004	"No_instructions"	0.585938893180043	"Expected"
"235"	14	"first"	-3	"-3"	-3.22203821588321	"Instructions"	0.9842004067701	"Expected"
"236"	14	"first"	-2	"-2"	-2.15847128479618	"Instructions"	0.958081924872874	"Expected"
"237"	14	"first"	-1	"-1"	-1.06413040966505	"Instructions"	0.906363632783591	"Expected"
"238"	14	"first"	0	"0"	0	"Instructions"	0.829533802496652	"Expected"
"239"	14	"first"	1	"1"	1.09453231215461	"Instructions"	0.75	"Expected"
"240"	14	"first"	2	"2"	2.1888649458271	"Instructions"	0.75	"Expected"
"241"	14	"first"	2.5	"284"	2.31043646718459	"Instructions"	0.75	"Expected"
"242"	14	"first"	3	"3"	3.2524185571131	"Instructions"	0.75	"Expected"
"243"	14	"first"	4	"640"	13.0777132898041	"Instructions"	0.75	"Expected"
"244"	14	"second"	-3	"-3"	-3.22203821588321	"Instructions"	0.963535664996267	"Expected"
"245"	14	"second"	-2	"-2"	-2.15847128479618	"Instructions"	0.941210417450749	"Expected"
"246"	14	"second"	-1	"-1"	-1.06413040966505	"Instructions"	0.888493503322609	"Expected"
"247"	14	"second"	0	"0"	0	"Instructions"	0.817297832881783	"Expected"
"248"	14	"second"	1	"1"	1.09453231215461	"Instructions"	0.738680058249199	"Expected"
"249"	14	"second"	2	"2"	2.1888649458271	"Instructions"	0.685527830171291	"Expected"
"250"	14	"second"	2.5	"284"	2.31043646718459	"Instructions"	0.677674954907476	"Expected"
"251"	14	"second"	3	"3"	3.2524185571131	"Instructions"	0.63836481818789	"Expected"
"252"	14	"second"	4	"640"	13.0777132898041	"Instructions"	0.648437504062592	"Expected"
"253"	15	"first"	-3	"-3"	-3.2524185571131	"No_instructions"	0.911983049764673	"Expected"
"254"	15	"first"	-2	"-2"	-2.15847128479618	"No_instructions"	0.862431632161955	"Expected"
"255"	15	"first"	-1	"-1"	-1.09453231215461	"No_instructions"	0.792561229857875	"Expected"
"256"	15	"first"	0	"0"	0	"No_instructions"	0.713023836335327	"Expected"
"257"	15	"first"	1	"1"	1.06413040966505	"No_instructions"	0.639870913623777	"Expected"
"258"	15	"first"	1.5	"284"	1.82412190700378	"No_instructions"	0.601243488868866	"Expected"
"259"	15	"first"	2	"2"	2.15847128479618	"No_instructions"	0.580284847548397	"Expected"
"260"	15	"first"	3	"3"	3.22203821588321	"No_instructions"	0.541186736937508	"Expected"
"261"	15	"first"	4	"640"	12.5973203487428	"No_instructions"	0.500000231185942	"Expected"
"262"	15	"second"	-3	"-3"	-3.2524185571131	"No_instructions"	0.923981794191686	"Expected"
"263"	15	"second"	-2	"-2"	-2.15847128479618	"No_instructions"	0.866058459005889	"Expected"
"264"	15	"second"	-1	"-1"	-1.09453231215461	"No_instructions"	0.793934172756517	"Expected"
"265"	15	"second"	0	"0"	0	"No_instructions"	0.713023836335327	"Expected"
"266"	15	"second"	1	"1"	1.06413040966505	"No_instructions"	0.639870913623777	"Expected"
"267"	15	"second"	1.5	"284"	1.82412190700378	"No_instructions"	0.596444891735604	"Expected"
"268"	15	"second"	2	"2"	2.15847128479618	"No_instructions"	0.580284847548397	"Expected"
"269"	15	"second"	3	"3"	3.22203821588321	"No_instructions"	0.541186736937508	"Expected"
"270"	15	"second"	4	"640"	12.5973203487428	"No_instructions"	0.500000231185942	"Expected"
"271"	16	"first"	-3	"-3"	-3.22203821588321	"Instructions"	0.903174575049378	"Expected"
"272"	16	"first"	-2	"-2"	-2.15847128479618	"Instructions"	0.813020636713434	"Expected"
"273"	16	"first"	-1.5	"284"	-2.06728849639045	"Instructions"	0.804138708776906	"Expected"
"274"	16	"first"	-1	"-1"	-1.06413040966505	"Instructions"	0.703112597115704	"Expected"
"275"	16	"first"	0	"0"	0	"Instructions"	0.608788782425342	"Expected"
"276"	16	"first"	1	"1"	1.09453231215461	"Instructions"	0.75	"Expected"
"277"	16	"first"	2	"2"	2.15847128479618	"Instructions"	0.75	"Expected"
"278"	16	"first"	3	"3"	3.2524185571131	"Instructions"	0.75	"Expected"
"279"	16	"first"	4	"640"	8.73954036549999	"Instructions"	0.75	"Expected"
"280"	16	"second"	-3	"-3"	-3.22203821588321	"Instructions"	0.826587287524689	"Expected"
"281"	16	"second"	-2	"-2"	-2.15847128479618	"Instructions"	0.781510318356717	"Expected"
"282"	16	"second"	-1.5	"284"	-2.06728849639045	"Instructions"	0.771993850440618	"Expected"
"283"	16	"second"	-1	"-1"	-1.06413040966505	"Instructions"	0.733959572697478	"Expected"
"284"	16	"second"	0	"0"	0	"Instructions"	0.699007060320262	"Expected"
"285"	16	"second"	1	"1"	1.09453231215461	"Instructions"	0.704475186077765	"Expected"
"286"	16	"second"	2	"2"	2.15847128479618	"Instructions"	0.680121053005992	"Expected"
"287"	16	"second"	3	"3"	3.2524185571131	"Instructions"	0.705211505922765	"Expected"
"288"	16	"second"	4	"640"	8.73954036549999	"Instructions"	0.72058823977682	"Expected"
"289"	17	"first"	-3	"-3"	-3.2524185571131	"No_instructions"	0.86443936941198	"Expected"
"290"	17	"first"	-2	"-2"	-2.15847128479618	"No_instructions"	0.889349131795897	"Expected"
"291"	17	"first"	-1	"-1"	-1.06413040966505	"No_instructions"	0.815906415090392	"Expected"
"292"	17	"first"	0	"0"	0	"No_instructions"	0.750171247127583	"Expected"
"293"	17	"first"	0.5	"284"	0.577682505779257	"No_instructions"	0.721740418264664	"Expected"
"294"	17	"first"	1	"1"	1.09453231215461	"No_instructions"	0.705894945545705	"Expected"
"295"	17	"first"	2	"2"	2.15847128479618	"No_instructions"	0.661241726284699	"Expected"
"296"	17	"first"	3	"3"	3.2524185571131	"No_instructions"	0.631215654212505	"Expected"
"297"	17	"first"	4	"640"	11.3643211697366	"No_instructions"	0.69166666666701	"Expected"
"298"	17	"second"	-3	"-3"	-3.2524185571131	"No_instructions"	0.826397710898657	"Expected"
"299"	17	"second"	-2	"-2"	-2.15847128479618	"No_instructions"	0.832319209338688	"Expected"
"300"	17	"second"	-1	"-1"	-1.06413040966505	"No_instructions"	0.782356769399582	"Expected"
"301"	17	"second"	0	"0"	0	"No_instructions"	0.750070763275861	"Expected"
"302"	17	"second"	0.5	"284"	0.577682505779257	"No_instructions"	0.745322551988634	"Expected"
